epoch	lr	TrainLoss	Clean_TestMAE	Clean_TestMSE
387	0.001	0.00643	0.0628	0.00731
388	0.001	0.00644	0.0616	0.0071
389	0.001	0.00645	0.0615	0.00708
390	0.001	0.00641	0.0618	0.00715
391	0.001	0.00642	0.0622	0.00721
392	0.001	0.00644	0.0623	0.0072
393	0.001	0.00641	0.0629	0.00734
394	0.001	0.00643	0.0619	0.00715
395	0.001	0.00643	0.0618	0.00714
396	0.001	0.0064	0.0623	0.00722
397	0.001	0.0064	0.0614	0.00706
398	0.001	0.0064	0.0615	0.00708
399	0.001	0.0064	0.0616	0.00708
400	0.001	0.00646	0.0614	0.00708
401	0.001	0.00637	0.0614	0.00707
402	0.001	0.00639	0.0625	0.00726
403	0.001	0.00649	0.0612	0.00703
404	0.001	0.00636	0.0633	0.00739
405	0.001	0.00638	0.0634	0.00738
406	0.001	0.00636	0.0615	0.00707
407	0.001	0.00637	0.0632	0.00734
408	0.001	0.0064	0.0644	0.00762
409	0.001	0.00638	0.0625	0.00722
410	0.001	0.00636	0.0614	0.00705
411	0.001	0.00642	0.0624	0.00724
412	0.001	0.00636	0.0616	0.00707
413	0.001	0.00634	0.062	0.00714
414	0.001	0.0064	0.0611	0.00699
415	0.001	0.00633	0.0624	0.00723
416	0.001	0.00636	0.0623	0.00719
417	0.001	0.00645	0.0614	0.00705
418	0.001	0.00633	0.0616	0.00705
419	0.001	0.00632	0.0613	0.00704
420	0.001	0.00633	0.0617	0.00709
421	0.001	0.00631	0.0618	0.0071
422	0.001	0.00633	0.0619	0.00713
423	0.001	0.0063	0.0612	0.00698
424	0.001	0.00634	0.0622	0.00715
425	0.001	0.00629	0.0615	0.00706
426	0.001	0.00629	0.0607	0.00692
427	0.001	0.0063	0.0609	0.00695
428	0.001	0.00627	0.0611	0.00699
429	0.001	0.00632	0.061	0.00697
430	0.001	0.00624	0.0612	0.00701
431	0.001	0.00626	0.0609	0.00694
432	0.001	0.00629	0.0627	0.00724
433	0.001	0.00623	0.0609	0.00695
434	0.001	0.00624	0.0625	0.0072
435	0.001	0.00627	0.0632	0.00732
436	0.001	0.00626	0.061	0.00696
437	0.001	0.00622	0.0611	0.00695
438	0.001	0.00624	0.0612	0.00697
439	0.001	0.00624	0.0608	0.00692
440	0.001	0.00624	0.0607	0.0069
441	0.001	0.00623	0.0611	0.00697
442	0.001	0.00623	0.0609	0.00692
443	0.001	0.00622	0.0625	0.00722
444	0.001	0.00623	0.0607	0.00688
445	0.001	0.00623	0.063	0.00729
446	0.001	0.00623	0.0611	0.00696
447	0.001	0.00622	0.0612	0.00697
448	0.001	0.0062	0.0617	0.00706
449	0.001	0.00627	0.0608	0.0069
450	0.001	0.0062	0.0613	0.00701
451	0.001	0.00619	0.0616	0.00707
452	0.001	0.0062	0.0614	0.00701
453	0.001	0.00619	0.0603	0.00682
454	0.001	0.00618	0.0608	0.00691
455	0.001	0.00619	0.0618	0.00708
456	0.001	0.00619	0.0607	0.0069
457	0.001	0.00619	0.0603	0.00683
458	0.001	0.00618	0.0606	0.00688
459	0.001	0.00619	0.0602	0.0068
460	0.001	0.00615	0.061	0.00693
461	0.001	0.00616	0.061	0.00695
462	0.001	0.00616	0.061	0.00693
463	0.001	0.00615	0.0606	0.00688
